SKU,Category (Drop Down),Sub Category (drop Down),Product Name,Features,Pricing,Description HTML,Images
ONG077,Kitchen,Stainless Steel Sink,Under-mount Single Bowl Kitchen Sink,,699,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 43.7185%;""><strong>Thickness</strong></td>
 <td style=""height: 13px; width: 52.2508%;"">1.2mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 43.7185%;""><strong>Overall Size</strong></td>
 <td style=""height: 13px; width: 52.2508%;"">L760 x W450 x D220mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 43.7185%;""><strong>Bowl Size</strong></td>
 <td style=""height: 13px; width: 52.2508%;"">L710 x W400 x D220mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 43.7185%;""><strong>Material</strong></td>
 <td style=""height: 13px; width: 52.2508%;"">SUS 304 Stainless Steel</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01868.png
ONG078,Kitchen,Stainless Steel Sink,Under-mount Double Bowl Kitchen Sink,,600,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 43.9734%;""><strong>Thickness</strong></td>
 <td style=""height: 13px; width: 51.9959%;"">1mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 43.9734%;""><strong>Overall Size</strong></td>
 <td style=""height: 13px; width: 51.9959%;"">L900 x W450 x D229mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 43.9734%;""><strong>Bowl Size</strong></td>
 <td style=""height: 13px; width: 51.9959%;"">L498 x W410 x D229mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 43.9734%;""><strong>Bowl Size</strong></td>
 <td style=""height: 13px; width: 51.9959%;"">L332 x W410 x D229mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 43.9734%;""><strong>Material</strong></td>
 <td style=""height: 13px; width: 51.9959%;"">SUS 304 Stainless Steel</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01869.png
ONG079,Kitchen,Stainless Steel Sink,Under-mount Double Bowl Kitchen Sink,,900,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 44.8372%;""><strong>Thickness</strong></td>
 <td style=""height: 13px; width: 51.1321%;"">1mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 44.8372%;""><strong>Overall Size</strong></td>
 <td style=""height: 13px; width: 51.1321%;"">L900 x W450 x D229mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 44.8372%;""><strong>Bowl Size</strong></td>
 <td style=""height: 13px; width: 51.1321%;"">L415 x W410 x D229mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 44.8372%;""><strong>Bowl Size</strong></td>
 <td style=""height: 13px; width: 51.1321%;"">L415 x W410 x D229mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 44.8372%;""><strong>Material</strong></td>
 <td style=""height: 13px; width: 51.1321%;"">SUS 304 Stainless Steel</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01870.png
ONG080,Kitchen,Stainless Steel Sink,1½ Bowl Kitchen Sink,,900,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td style=""width: 44.4863%;""><strong>Thickness</strong></td>
 <td style=""width: 51.483%;"">0.9mm</td>
 </tr>
 <tr>
 <td style=""width: 44.4863%;""><strong>Overall Size</strong></td>
 <td style=""width: 51.483%;"">L650 x W500 x D200mm</td>
 </tr>
 <tr>
 <td style=""width: 44.4863%;""><strong>Bowl Size</strong></td>
 <td style=""width: 51.483%;"">L373 x W415 x D200mm</td>
 </tr>
 <tr>
 <td style=""width: 44.4863%;""><strong>Bowl Size</strong></td>
 <td style=""width: 51.483%;"">L160 x W300mm</td>
 </tr>
 <tr>
 <td style=""width: 44.4863%;""><strong>Material</strong></td>
 <td style=""width: 51.483%;"">SUS 304 Stainless Steel</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01872.png
ONG081,Kitchen,Stainless Steel Sink,Stainless Steel Triple Bowl Kitchen Sink,"Under Mount Sink.
 Handmade.
 Stainless Steel SUS 304.
 Anti Rust.
 Triple Bowl.",900,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td style=""width: 44.4863%;""><strong>Material</strong></td>
 <td style=""width: 51.483%;"">Stainless Steel SUS 304</td>
 </tr>
 <tr>
 <td style=""width: 44.4863%;""><strong>Thickness</strong></td>
 <td style=""width: 51.483%;"">1.22mm</td>
 </tr>
 <tr>
 <td style=""width: 44.4863%;""><strong>Size</strong></td>
 <td style=""width: 51.483%;"">(L) 1150mm<br>(W) 450mm<br>(D) 230mm</td>
 </tr>
 <tr>
 <td style=""width: 44.4863%;""><strong>Radius</strong></td>
 <td style=""width: 51.483%;"">10</td>
 </tr>
 <tr>
 <td style=""width: 44.4863%;""><strong>Colour</strong></td>
 <td style=""width: 51.483%;"">Satin Finishing</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01959.png
ONG082,Sanitary Wares,Mirror,Smart Mirror,"Smart Touch On/Off.
 External LED.
 Memory Function.
 Buffer.
 Energy Saving/Shining.
 5mm Copper Free Mirror.",850,,https://www.bumhan.com.my/product_img/IM01899.png
ONG083,Sanitary Wares,Mirror,Smart Mirror,"Smart Touch On/Off.
 Defogging.
 Time Display.
 Temperature.
 Bluetooth Audio.
 Energy Saving/Shining.
 5mm Copper Free Mirror.",450,,https://www.bumhan.com.my/product_img/IM01898.png
ONG084,Sanitary Wares,Mirror,Stainless Steel Wall-mounted Rectangle Bathroom Mirror Cabinet,"Mirrored bathroom cabinets are made especially for bathrooms.
 5mm thickness mirror.
 High quality fully SUS304 Stainless Steel.
 Multiple compartments cabinet provide extra storage space, hidden behind mirror.
 Easy to clean.
 Smooth bevelled edges for added safety and style.",450,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td style=""width: 43.828%;""><strong>Material</strong></td>
 <td style=""width: 52.1413%;"">SUS 304 Stainless Steel</td>
 </tr>
 <tr>
 <td style=""width: 43.828%;""><strong>Finishing</strong></td>
 <td style=""width: 52.1413%;"">Chromed</td>
 </tr>
 <tr>
 <td style=""width: 43.828%;""><strong>Dimension</strong></td>
 <td style=""width: 52.1413%;"">35cm (L) x 13cm (W) x 50cm (H)</td>
 </tr>
 <tr>
 <td style=""width: 43.828%;""><strong>Weight</strong></td>
 <td style=""width: 52.1413%;"">4.1kg</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01876.png
ONG085,Sanitary Wares,Mirror,Stainless Steel Wall-mounted Rectangle Bathroom Mirror Cabinet,"Mirrored bathroom cabinets are made especially for bathrooms.
 5mm thickness mirror.
 High quality fully SUS304 Stainless Steel.
 Multiple compartments cabinet provide extra storage space, hidden behind mirror.
 Easy to clean.
 Smooth bevelled edges for added safety and style.",400,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td style=""width: 44.7142%;""><strong>Material</strong></td>
 <td style=""width: 51.2551%;"">SUS 304 Stainless Steel</td>
 </tr>
 <tr>
 <td style=""width: 44.7142%;""><strong>Finishing</strong></td>
 <td style=""width: 51.2551%;"">Chrome</td>
 </tr>
 <tr>
 <td style=""width: 44.7142%;""><strong>Dimension</strong></td>
 <td style=""width: 51.2551%;"">40cm (L) x 13cm (W) x 60cm (H)</td>
 </tr>
 <tr>
 <td style=""width: 44.7142%;""><strong>Weight</strong></td>
 <td style=""width: 51.2551%;"">5.8kg</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01877.png
ONG086,Sanitary Wares,Mirror,Bathroom Mirror Cabinet,"Stainless Steel Bathroom Cabinet transforms your bathroom to a highly functional space, where you can dress up, shave or apply make-up.
 It serves as the ideal solution for storing small day to day utility items like soaps, toothbrushes, mouthwash, dental floss, shaving creams and lotions.
 This attractive design is available in a variety of sizes to fit your space.",400,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Dimensions</strong></td>
 <td>600 x 700mm</td>
 </tr>
 <tr>
 <td><strong>Material</strong></td>
 <td>Stainless Steel</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01782.png
ONG087,Sanitary Wares,Mirror,Sliding Mirror Cabinet,,400,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td style=""width: 43.612%;""><strong>Type</strong></td>
 <td style=""width: 52.3572%;"">Sliding Mirror Cabinet</td>
 </tr>
 <tr>
 <td style=""width: 43.612%;""><strong>Size</strong></td>
 <td style=""width: 52.3572%;"">460 (W) x 130 (D) x 560 (H) mm</td>
 </tr>
 <tr>
 <td style=""width: 43.612%;""><strong>Material</strong></td>
 <td style=""width: 52.3572%;"">Stainless Steel</td>
 </tr>
 <tr>
 <td style=""width: 43.612%;""><strong>Finishing</strong></td>
 <td style=""width: 52.3572%;"">Polish</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01807.png
ONG088,Sanitary Wares,Mirror,8'' Magnifying Mirror,,320,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Colour</strong></td>
 <td>Chrome</td>
 </tr>
 <tr>
 <td><strong>Dimensions</strong></td>
 <td>250 (W) x 29 (D) x 307 (H) mm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01874.png
